rule_id,style,bottleneck,guidance_title,guidance_text,literature_basis,guidance_reference
usable_successful_outcomes,GMD,trigger_context,Trigger-aware outcome review,Check whether outcome behavior shifts by trigger context before applying broad workflow changes.,Profile-derived trigger-context guidance,"GitHub Docs — Events that trigger workflows: https://docs.github.com/actions/using-workflows/events-that-trigger-workflows | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
usable_successful_outcomes,Third-Party,trigger_context,Trigger-aware outcome review,Check whether outcome behavior shifts by trigger context before applying broad workflow changes.,Profile-derived trigger-context guidance,"GitHub Docs — Events that trigger workflows: https://docs.github.com/actions/using-workflows/events-that-trigger-workflows | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
overhead_led_optimization,Community,distributed_overhead,Distributed overhead reduction,"Treat the problem as distributed: inspect entry/setup, execution, and residual tail contributors together.",Profile-derived overhead guidance,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners"
overhead_led_optimization,Custom,post_execution_tail,Tail-heavy reduction,Reduce post-execution cleanup/reporting and standardize bespoke completion-tail work first.,Profile-derived overhead guidance,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners | GitHub Docs — Workflow syntax / jobs: https://docs.github.com/actions/using-workflows/workflow-syntax-for-github-actions"
overhead_led_optimization,GMD,execution_path,Execution-centric optimization,Treat the problem as primarily execution-centric and focus on the execution path itself.,Profile-derived overhead guidance,"Android Developers — Build-managed devices: https://developer.android.com/studio/test/managed-devices | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching"
overhead_led_optimization,Third-Party,entry_setup,Entry-and-provisioning reduction,"Treat the problem as heavy-entry and provisioning-oriented first, then shorten provider-side execution cost.",Profile-derived overhead guidance,GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners | Firebase — Test Lab overview: https://firebase.google.com/docs/test-lab | Firebase — Test Lab command line: https://firebase.google.com/docs/test-lab/android/command-line
*,Community,*,Community default focus,Use Community's current dominant bottleneck as the first improvement focus; it often needs balancing across multiple phases.,Style default fallback,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
*,Custom,*,Custom default focus,Use Custom's current dominant bottleneck as the first improvement focus; it often needs bespoke tail reduction and workflow simplification.,Style default fallback,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
*,GMD,*,GMD default focus,Use GMD's current dominant bottleneck as the first improvement focus; it is usually execution-centric.,Style default fallback,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
*,Third-Party,*,Third-Party default focus,Use Third-Party's current dominant bottleneck as the first improvement focus; it is usually entry/provisioning and provider-execution oriented.,Style default fallback,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
